,id_fifa,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating,goles
357,255461,Barbero,10,Osasuna,Esp,26,6,16,0.0,0.0,0.0,0.2,0.0,0.3,0.8,0.0,0.0,0.0,0,0.0,5.97,0
358,255461,Bart Nieuwkoop,5,Feyenoord,Ned,28,5,240,0.4,0.6,0.4,0.2,0.0,0.2,0.8,0.81,-0.81,0.3,2,0.4,6.65,0
359,255461,Bart Verbruggen,0,Brighton,Ing,22,9,810,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0,0.0,6.65,0
360,262311,Bart van Rooij,5,NEC Nijmegen,Ned,23,2,178,0.5,0.5,1.5,1.0,0.0,0.5,0.0,0.04,-0.04,0.02,1,0.04,7.28,0
364,217585,Bas Kuipers,2,Twente,Ned,30,10,365,0.5,0.7,0.0,0.3,0.1,0.0,0.4,0.57,-0.57,0.14,5,0.11,6.46,0
365,263646,Basar Önal,5,NEC Nijmegen,Ned,20,12,682,1.1,0.9,1.1,0.7,0.1,0.7,1.9,1.06,-1.06,0.14,13,0.08,6.48,0
366,166074,Bebé,10,Rayo Vallecano,Esp,34,29,852,1.7,0.5,1.0,0.6,0.2,0.7,1.4,1.54,-0.54,0.16,50,0.03,6.37,1
367,188270,Becir Omeragic,5,Montpellier,Fra,22,6,485,0.0,0.0,0.5,0.7,0.0,0.2,0.3,0.0,0.0,0.0,0,0.0,6.22,0
368,263617,Ben Brereton,10,Southampton,Ing,25,7,408,1.6,0.4,0.1,0.9,0.1,0.6,1.0,1.26,-1.26,0.28,11,0.11,6.11,0
369,205923,Ben Davies,5,Tottenham,Ing,31,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.7,0
370,225793,Ben Godfrey,2,Atalanta,Ita,26,1,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,6.04,0
371,241842,Ben Johnson,5,Ipswich,Ing,24,6,401,0.2,0.5,0.5,0.5,0.0,0.3,1.3,0.05,-0.05,0.01,1,0.05,6.56,0
372,189682,Ben Mee,2,Brentford,Ing,35,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.1,0
373,263617,Ben Old,5,Saint-Etienne,Fra,22,6,378,1.3,0.7,1.3,1.2,0.0,0.8,1.2,0.88,-0.88,0.21,8,0.11,6.36,0
374,263617,Ben Viadère,10,Auxerre,Fra,19,1,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.17,0
375,231936,Ben White,5,Arsenal,Ing,27,9,694,0.4,0.3,0.0,0.3,0.1,0.3,0.8,0.13,-0.13,0.02,4,0.03,6.64,0
376,263617,Bence Dárdai,5,Wolfsburg,Ger,18,3,180,0.3,2.0,0.0,0.7,0.0,1.0,1.0,0.12,0.88,0.06,1,0.12,6.86,1
377,263617,Benedict Hollerbach,10,Union Berlin,Ger,23,10,715,1.5,0.7,1.0,1.7,0.6,3.4,2.9,1.82,0.18,0.23,15,0.12,6.53,2
378,263617,Benedikt Gimber,5,FC Heidenheim,Ger,27,10,875,0.3,0.1,0.1,1.4,0.0,0.2,1.0,0.11,-0.11,0.01,3,0.04,6.83,0
379,263617,Benedikt Pichler,10,Holstein Kiel,Ger,27,9,600,1.4,0.7,0.8,1.4,0.8,1.0,1.3,1.57,-0.57,0.24,13,0.12,6.72,1
380,263617,Beni,2,Casa Pia AC,Por,22,6,386,0.2,0.5,1.2,1.8,0.0,0.7,1.5,0.04,-0.04,0.01,1,0.04,6.59,0
381,263617,Benjamin André,5,Lille,Fra,34,9,803,1.0,0.7,0.3,1.3,0.2,1.2,1.6,1.04,-1.04,0.12,9,0.12,7.07,0
382,263617,Benjamin Bouchouari,5,Saint-Etienne,Fra,22,7,302,0.3,0.6,0.6,0.6,0.0,0.4,0.7,0.05,-0.05,0.01,2,0.02,6.31,0
383,263617,Benjamin Bourigeaud,5,Rennes,Fra,30,1,81,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.2,0.8,0.22,2,0.1,7.99,1
